repo,title,state,duration_hours,additions,deletions,changed_files,body_length,review_count,comment_count
freeCodeCamp/freeCodeCamp,fix(client): heatmap button size,merged,3.37,4,1,2,541,2,0
freeCodeCamp/freeCodeCamp,test: confirm that lab project previews can be viewed,merged,1.64,29,2,1,294,2,0
freeCodeCamp/freeCodeCamp,refactor: remove DeepEqual,merged,2.37,75,119,9,298,2,3
freeCodeCamp/freeCodeCamp,fix(curriculum): word choice in css accessibility quiz,merged,5.0,1,1,1,320,2,1
freeCodeCamp/freeCodeCamp,fix(client): adjust button padding and dimensions,merged,15.53,2,1,1,559,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): add 100% max-width requirement to business card lab,merged,17.71,8,0,1,560,5,0
freeCodeCamp/freeCodeCamp,feat: add placeholder for all python module,merged,50.12,391,50,2,393,3,0
freeCodeCamp/freeCodeCamp,chore: improve error logs on timeout,merged,14.34,13,1,1,315,2,0
freeCodeCamp/freeCodeCamp,feat(curriculum): add typescript review page,merged,50.55,246,1,2,275,3,1
freeCodeCamp/freeCodeCamp,"chore(i18n,client): processed translations",merged,2.4,10,70,10,45,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): specify parameter in forEach method callback function,merged,39.53,1,1,1,275,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): Leap Year Calculator - allow assignment to single declaration,merged,45.03,7,1,1,475,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): typo in video description,merged,34.11,4,4,4,275,3,0
freeCodeCamp/freeCodeCamp,fix(curriculum): add optional chaining,merged,19.09,3,3,1,282,3,2
freeCodeCamp/freeCodeCamp,fix(curriculum): typo changed from preceeded to preceded,merged,5.81,1,1,1,275,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): remove TypeError messages,merged,30.48,6,7,1,275,3,0
freeCodeCamp/freeCodeCamp,fix(curriculum): remove user story and test for list-style-type: none,closed,3.04,6,18,1,359,1,1
freeCodeCamp/freeCodeCamp,fix(curriculum): remove list-style-type: none; requirement,merged,3.37,6,18,1,275,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): typo in video blank,merged,6.97,1,1,1,275,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): update blog card's image tests,merged,67.27,9,2,1,275,5,1
freeCodeCamp/freeCodeCamp,fix(curriculum): Update requirements for error logging in FCC leaderboard,merged,10.28,2,2,1,275,2,0
freeCodeCamp/freeCodeCamp,refactor(tools): improve readability of external curricula build script,merged,11.83,12,14,1,389,2,0
freeCodeCamp/freeCodeCamp,"chore(i18n,learn): update i18n-curriculum submodule",merged,2.52,1,1,1,47,2,0
freeCodeCamp/freeCodeCamp,"chore(i18n,client): processed translations",merged,4.27,690,250,20,45,2,0
freeCodeCamp/freeCodeCamp,"fix(curriculum): change ""attento"" to ""attention""",merged,9.07,1,1,1,275,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): fix anchors with hash within iframe to scroll to target element,merged,85.13,9,0,1,452,2,0
freeCodeCamp/freeCodeCamp,chore(curriculum): replace ellipse with trailing dots,merged,67.99,2,2,1,275,2,1
freeCodeCamp/freeCodeCamp,fix(curriculum): adding missing backticks for `rem` values in css quiz,merged,54.04,2,2,1,275,2,2
freeCodeCamp/freeCodeCamp,"fix(curriculum): in step 7 ""window-1"" missing #",merged,37.8,1,1,1,259,2,3
freeCodeCamp/freeCodeCamp,fix(curriculum): Typo in Python Password,merged,3.22,1,1,1,299,2,0
freeCodeCamp/freeCodeCamp,fix(curriculum): implement updates to favorite icon toggler,merged,135.96,43,35,1,273,3,1
freeCodeCamp/freeCodeCamp,fix(curriculum): Correct typo in CSS Pseudo-classes Quiz,merged,18.75,1,1,1,417,2,2
freeCodeCamp/freeCodeCamp,fix(curriculum): reorder full stack javascript object lectures,merged,27.65,4,4,1,556,2,1
freeCodeCamp/freeCodeCamp,feat(curriculum): videos and transcripts for react dependencies and frameworks,merged,157.77,237,7,3,272,2,2
freeCodeCamp/freeCodeCamp,fix(curriculum): typo in dependency management tools lecture dashedname,merged,70.65,4,4,7,259,2,0
freeCodeCamp/freeCodeCamp,feat(client): decouple superblock id from certification name,merged,122.88,26,60,7,265,2,1
freeCodeCamp/freeCodeCamp,refactor: ignore returned functions from tests,merged,7.47,3,13,1,489,2,1
freeCodeCamp/freeCodeCamp,feat(schema): add 'dialogue-grid' layout option to block layouts,merged,7.72,160,155,55,379,2,1
freeCodeCamp/freeCodeCamp,fix(curriculum): typo in word blank,merged,9.28,1,1,1,275,2,2
